time,VDD_IN,VDD_GPU,VDD_CPU,temp0,temp1,temp2
2026-04-29T21:15:04.583031,3.468,0.25,1.17,50.0,41.5,40.5
2026-04-29T21:15:05.089789,2.985,0.21,0.798,50.0,41.5,40.0
2026-04-29T21:15:05.596366,2.821,0.21,0.673,49.5,41.0,40.5
2026-04-29T21:15:06.102888,3.51,0.208,1.168,50.0,42.0,40.5
2026-04-29T21:15:06.609849,2.825,0.168,0.632,50.0,41.0,40.5
2026-04-29T21:15:07.116246,2.91,0.168,0.715,49.5,41.5,40.5
2026-04-29T21:15:07.623096,2.825,0.168,0.715,49.5,41.0,40.5
2026-04-29T21:15:08.129986,2.947,0.21,0.758,50.0,41.5,40.0
2026-04-29T21:15:08.636570,2.825,0.168,0.715,50.0,41.0,40.5
2026-04-29T21:15:09.143487,2.947,0.168,0.798,49.5,41.0,40.0
2026-04-29T21:15:09.649897,2.825,0.168,0.715,50.0,41.0,40.0
2026-04-29T21:15:10.156839,2.947,0.168,0.758,49.5,41.0,40.5
2026-04-29T21:15:10.663275,2.867,0.168,0.673,49.5,41.5,40.0
2026-04-29T21:15:11.169962,3.022,0.209,0.839,49.5,41.0,40.5
2026-04-29T21:15:11.676759,3.148,0.209,0.881,49.5,41.5,40.5
2026-04-29T21:15:12.183462,2.947,0.168,0.798,50.0,41.0,40.5
2026-04-29T21:15:12.690432,3.027,0.21,0.798,50.0,41.0,40.5
2026-04-29T21:15:13.196910,2.947,0.168,0.758,50.0,41.0,40.0
2026-04-29T21:15:13.703517,2.905,0.168,0.756,50.0,41.0,40.5
2026-04-29T21:15:14.210423,2.947,0.168,0.758,49.5,41.0,40.5
2026-04-29T21:15:14.716804,2.905,0.21,0.756,50.0,41.0,40.0
2026-04-29T21:15:15.223642,2.947,0.168,0.756,49.5,41.0,40.0
2026-04-29T21:15:15.730337,2.905,0.168,0.715,50.0,41.0,40.0
2026-04-29T21:15:16.236963,2.905,0.168,0.756,49.5,41.0,40.0
2026-04-29T21:15:16.743700,2.905,0.168,0.715,50.0,41.0,40.5
2026-04-29T21:15:17.250054,2.905,0.168,0.758,50.0,40.5,40.5
2026-04-29T21:15:17.756958,2.947,0.168,0.758,49.5,41.0,40.0
2026-04-29T21:15:18.263468,2.947,0.168,0.756,49.5,41.0,40.5
2026-04-29T21:15:18.770070,2.905,0.168,0.758,49.5,41.0,40.5
2026-04-29T21:15:19.276809,3.269,0.251,0.962,49.5,41.5,40.5
2026-04-29T21:15:19.783348,2.905,0.168,0.756,50.0,41.0,40.0
