time,VDD_IN,VDD_GPU,VDD_CPU,temp0,temp1,temp2
2026-04-29T21:35:59.390138,3.63,0.208,1.126,52.0,44.5,42.0
2026-04-29T21:35:59.896518,3.106,0.209,0.881,52.0,43.5,42.5
2026-04-29T21:36:00.403455,4.099,0.662,1.2,52.0,44.5,42.5
2026-04-29T21:36:00.909962,3.111,0.209,0.839,51.5,43.5,42.5
2026-04-29T21:36:01.416390,3.785,0.332,1.329,52.0,45.0,42.5
2026-04-29T21:36:01.923626,3.827,0.207,1.536,52.0,45.0,42.5
2026-04-29T21:36:02.430621,3.785,0.291,1.453,52.5,44.5,43.0
2026-04-29T21:36:02.937878,6.608,2.106,1.587,52.5,46.5,44.0
2026-04-29T21:36:03.445891,6.539,2.229,1.353,52.0,46.5,44.0
2026-04-29T21:36:03.952934,3.827,0.208,1.536,52.5,45.5,43.5
2026-04-29T21:36:04.460111,3.51,0.208,1.17,52.5,45.0,43.0
2026-04-29T21:36:04.966542,4.642,0.657,1.561,52.5,44.5,43.0
2026-04-29T21:36:05.475813,6.608,2.189,1.472,53.0,45.5,44.0
2026-04-29T21:36:05.983560,4.182,0.289,1.697,52.5,45.5,43.0
2026-04-29T21:36:06.490718,3.868,0.291,1.414,52.5,45.5,43.0
2026-04-29T21:36:06.997528,3.552,0.208,1.293,52.5,44.0,43.0
2026-04-29T21:36:07.504928,6.589,2.192,1.435,52.5,45.5,44.0
2026-04-29T21:36:08.012229,5.518,0.852,2.069,53.0,46.0,44.0
2026-04-29T21:36:08.519926,3.63,0.208,1.335,52.0,44.5,43.0
2026-04-29T21:36:09.026631,3.708,0.249,1.374,52.5,44.5,43.0
2026-04-29T21:36:09.533196,6.189,2.006,1.284,52.5,45.5,44.0
2026-04-29T21:36:10.040581,6.767,2.225,1.51,53.0,46.0,44.5
2026-04-29T21:36:10.547876,3.63,0.208,1.335,52.5,44.5,43.0
2026-04-29T21:36:11.054905,3.868,0.208,1.578,52.5,44.5,43.0
