time,VDD_IN,VDD_GPU,VDD_CPU,temp0,temp1,temp2
2026-04-29T21:55:24.910243,2.91,0.126,0.716,52.0,43.0,41.5
2026-04-29T21:55:25.418207,2.58,0.126,0.423,51.5,42.5,41.5
2026-04-29T21:55:25.927495,3.153,0.252,0.714,52.0,42.5,41.5
2026-04-29T21:55:26.435895,2.584,0.126,0.38,52.0,42.5,41.5
2026-04-29T21:55:26.944446,2.989,0.21,0.631,52.0,42.5,41.5
2026-04-29T21:55:27.452683,4.147,1.285,0.706,52.0,43.0,42.0
2026-04-29T21:55:27.969880,3.952,1.163,0.706,52.0,43.0,42.0
2026-04-29T21:55:28.479479,3.474,0.544,0.669,52.5,43.5,42.0
2026-04-29T21:55:28.993447,2.542,0.126,0.423,52.0,43.0,41.5
2026-04-29T21:55:29.501309,2.622,0.126,0.423,51.5,42.5,41.5
2026-04-29T21:55:30.009735,2.787,0.168,0.506,51.5,43.0,41.5
2026-04-29T21:55:30.518505,2.745,0.126,0.464,51.5,42.5,41.5
2026-04-29T21:55:31.026919,2.499,0.084,0.381,51.5,42.5,41.0
2026-04-29T21:55:31.535053,2.499,0.084,0.381,51.5,42.5,41.5
2026-04-29T21:55:32.043535,2.542,0.084,0.381,51.5,42.5,41.0
2026-04-29T21:55:32.552160,2.503,0.084,0.381,52.0,42.5,41.5
2026-04-29T21:55:33.060446,2.499,0.084,0.381,51.5,42.5,41.5
2026-04-29T21:55:33.568441,2.58,0.126,0.423,51.5,42.5,41.5
2026-04-29T21:55:34.076355,2.745,0.168,0.506,51.5,42.5,41.5
2026-04-29T21:55:34.586157,2.83,0.168,0.59,51.5,42.5,41.5
2026-04-29T21:55:35.097286,2.499,0.084,0.381,51.5,42.5,41.5
2026-04-29T21:55:35.604613,2.461,0.084,0.381,51.5,42.5,41.5
2026-04-29T21:55:36.112837,2.499,0.084,0.381,51.5,42.5,41.0
2026-04-29T21:55:36.620445,2.499,0.084,0.381,51.5,42.5,41.5
2026-04-29T21:55:37.128833,2.499,0.127,0.381,51.5,42.5,41.5
2026-04-29T21:55:37.636414,2.461,0.084,0.381,51.5,42.5,41.5
2026-04-29T21:55:38.145555,2.418,0.084,0.339,51.0,42.5,41.0
2026-04-29T21:55:38.653188,2.499,0.084,0.381,51.5,42.5,41.5
2026-04-29T21:55:39.161879,2.418,0.084,0.339,51.0,42.5,41.0
2026-04-29T21:55:39.669704,2.703,0.084,0.591,52.0,42.5,41.5
2026-04-29T21:55:40.180273,2.461,0.084,0.338,51.5,42.5,41.5
2026-04-29T21:55:40.687709,2.457,0.084,0.381,51.5,42.5,41.0
2026-04-29T21:55:41.204385,2.376,0.084,0.297,51.0,42.5,41.0
2026-04-29T21:55:41.712126,2.499,0.084,0.381,51.5,42.0,41.5
2026-04-29T21:55:42.219459,2.376,0.084,0.297,51.5,42.0,41.0
2026-04-29T21:55:42.727517,2.542,0.084,0.423,51.5,42.0,41.5
2026-04-29T21:55:43.235752,2.787,0.168,0.549,51.5,42.0,41.5
2026-04-29T21:55:43.745357,2.622,0.084,0.423,51.5,42.0,41.5
2026-04-29T21:55:44.253493,2.333,0.084,0.297,51.5,42.0,41.5
2026-04-29T21:55:44.761989,2.499,0.084,0.381,51.5,42.0,41.5
2026-04-29T21:55:45.269477,2.333,0.084,0.297,51.5,42.5,41.0
2026-04-29T21:55:45.778183,2.499,0.084,0.381,51.5,42.0,41.5
2026-04-29T21:55:46.294854,2.58,0.126,0.423,51.5,42.5,41.0
2026-04-29T21:55:46.802407,2.461,0.084,0.381,51.5,42.5,41.0
2026-04-29T21:55:47.310379,2.337,0.084,0.297,51.5,42.0,41.0
2026-04-29T21:55:47.818038,2.503,0.084,0.381,51.5,42.0,41.5
2026-04-29T21:55:48.326134,2.333,0.084,0.297,51.5,42.5,41.5
