time,VDD_IN,VDD_GPU,VDD_CPU,temp0,temp1,temp2
2026-04-29T21:01:46.007745,2.905,0.084,0.715,50.0,41.5,39.5
2026-04-29T21:01:46.515247,2.538,0.169,0.38,50.0,41.0,39.5
2026-04-29T21:01:47.027517,2.863,0.21,0.589,49.5,41.5,39.5
2026-04-29T21:01:47.539357,2.291,0.084,0.297,50.0,40.5,39.5
2026-04-29T21:01:48.049831,2.495,0.084,0.465,50.0,41.0,39.5
2026-04-29T21:01:48.558948,4.022,1.242,0.621,50.0,41.5,40.0
2026-04-29T21:01:49.066958,4.485,1.522,0.74,50.0,42.0,41.0
2026-04-29T21:01:49.576114,4.334,1.524,0.618,50.0,42.0,41.0
2026-04-29T21:01:50.084806,4.485,1.522,0.74,50.0,42.0,41.0
2026-04-29T21:01:50.596507,4.368,1.524,0.659,50.0,42.5,41.5
2026-04-29T21:01:51.111144,4.41,1.44,0.699,50.0,42.0,41.0
2026-04-29T21:01:51.620983,4.41,1.524,0.659,50.0,42.0,41.0
2026-04-29T21:01:52.130166,4.485,1.522,0.699,50.5,42.0,41.0
2026-04-29T21:01:52.639454,4.451,1.522,0.699,50.0,42.5,41.0
2026-04-29T21:01:53.149394,4.485,1.522,0.699,50.5,42.5,41.5
2026-04-29T21:01:53.658115,4.485,1.481,0.74,50.5,42.5,41.0
2026-04-29T21:01:54.166842,4.485,1.522,0.699,50.5,42.5,41.5
2026-04-29T21:01:54.675598,4.485,1.522,0.699,50.0,43.0,41.0
2026-04-29T21:01:55.184390,4.485,1.522,0.74,50.5,43.0,41.5
2026-04-29T21:01:55.693427,4.485,1.522,0.699,50.5,43.0,41.5
2026-04-29T21:01:56.202005,4.485,1.481,0.699,50.5,42.5,41.5
2026-04-29T21:01:56.713168,4.485,1.522,0.699,50.5,42.5,41.5
2026-04-29T21:01:57.222116,4.485,1.522,0.74,50.5,43.0,41.5
2026-04-29T21:01:57.734516,4.485,1.522,0.699,50.5,42.5,41.5
2026-04-29T21:01:58.246505,4.485,1.522,0.74,50.5,43.0,41.5
2026-04-29T21:01:58.761795,4.601,1.52,0.821,50.5,42.5,41.0
2026-04-29T21:01:59.273257,4.642,1.517,0.821,50.5,43.0,41.0
2026-04-29T21:01:59.781180,4.642,1.517,0.862,51.0,43.0,41.5
2026-04-29T21:02:00.301330,4.642,1.517,0.861,50.5,42.5,41.5
2026-04-29T21:02:00.808986,4.642,1.517,0.861,50.5,42.5,41.5
2026-04-29T21:02:01.318571,3.148,0.083,0.881,50.5,42.0,40.5
2026-04-29T21:02:01.829613,2.538,0.084,0.465,50.0,41.5,40.0
2026-04-29T21:02:02.338435,2.495,0.084,0.465,50.0,41.5,40.0
2026-04-29T21:02:02.846821,2.499,0.084,0.465,50.0,41.5,40.0
2026-04-29T21:02:03.355132,2.58,0.126,0.465,50.0,41.5,40.0
2026-04-29T21:02:03.864220,2.495,0.042,0.506,50.5,41.5,40.0
2026-04-29T21:02:04.380234,2.414,0.084,0.381,50.5,41.5,39.5
2026-04-29T21:02:04.890166,2.618,0.084,0.464,50.5,41.5,39.5
2026-04-29T21:02:05.398421,2.495,0.084,0.423,50.5,41.5,40.0
2026-04-29T21:02:05.908284,2.538,0.084,0.465,50.0,41.5,39.5
2026-04-29T21:02:06.415703,2.376,0.084,0.296,50.0,41.5,39.5
2026-04-29T21:02:06.928483,2.622,0.126,0.422,50.0,41.5,40.0
2026-04-29T21:02:07.436611,2.291,0.042,0.297,50.0,41.0,40.0
2026-04-29T21:02:07.945845,2.495,0.084,0.465,50.0,41.5,40.0
